last_name,first_name,height
Bradley,Phil,72
Branca,Ralph,75
Brandt,Jackie,71
Brantley,Jeff,71
Brecheen,Harry,70
Brenly,Bob,74
Bressoud,Eddie,73
Brett,George,72
Brett,Ken,72
Brewer,Jim,73
Brewer,Tom,73
Bridges,Rocky,68
Bridges,Tommy,70
Brinkman,Ed,72
Brissie,Lou,76
Brock,Lou,71
Brooks,Hubie,72
Brosius,Scott,73
Brown,Chris,72
Brown,Jimmy,68
Brown,Kevin,76
Brown,Mace,73
Browning,Tom,73
Brunansky,Tom,76
Buckner,Bill,72
Buford,Don,67
Buhl,Bob,74
Buhner,Jay,75
Bumbry,Al,68
Bunning,Jim,75
Burdette,Lew,74
Burgess,Smoky,68
Burgmeier,Tom,71
Burke,Tim,75
Burkett,John,74
Burks,Ellis,74
Burleson,Rick,70
Burnitz,Jeromy,72
Burns,Britt,77
Burroughs,Jeff,73
Busby,Jim,73
Busby,Steve,74
Butler,Brett,70
Byrd,Paul,73
Byrne,Tommy,73
Calderon,Ivan,73
Callison,Johnny,70
Camilli,Dolph,70
Caminiti,Ken,72
Campanella,Roy,69
Campaneris,Bert,70
Campbell,Bill,75
Candelaria,John,79
Cannizzaro,Chris,72
Canseco,Jose,76
Capra,Buzz,70
Cardenas,Leo,71
Carew,Rod,72
Carlton,Steve,76
Carrasquel,Chico,72
Carroll,Clay,73
Carter,Gary,74
Carter,Joe,75
Carty,Rico,75
Casanova,Paul,76
Case,George,72
Casey,Sean,76
Cash,Dave,71
Cash,Norm,72
Castilla,Vinny,73
Caudill,Bill,73
Cavarretta,Phil,71
Cedeno,Cesar,74
Cepeda,Orlando,74
Cerv,Bob,72
Cey,Ron,70
Chalk,Dave,70
Chambliss,Chris,73
Chance,Dean,75
Chandler,Spud,72
Chapman,Ben,72
Chapman,Sam,72
Charlton,Norm,75
Christopher,Russ,75
Cimoli,Gino,73
Cirillo,Jeff,74
Clancy,Jim,76
Clark,Jack,74
Clark,Will,74
Clayton,Royce,72
Clear,Mark,76
Clemens,Roger,76
Clemente,Roberto,71
Clift,Harlond,71
Coates,Jim,76
Cochrane,Mickey,70
Colavito,Rocky,75
Colbert,Nate,74
Colborn,Jim,72
Coleman,Jerry,72
Coleman,Joe,75
Coleman,Joe,74
Coleman,Vince,72
Collins,Ripper,69
Colon,Bartolo,71
Concepcion,Dave,74
Cone,David,73
Conigliaro,Tony,75
Conine,Jeff,73
Conley,Gene,80
Consuegra,Sandy,71
Coomer,Ron,71
Cooper,Cecil,74
Cooper,Mort,74
Cooper,Scott,75
Cooper,Walker,75
Cora,Joey,67
Corbett,Doug,73
Cordero,Wil,74
Coscarart,Pete,71
Cramer,Doc,74
Crandall,Del,73
Cronin,Joe,71
Crosetti,Frankie,70
Crowder,General,70
Crowe,George,74
Cruz,Jose,72
Cuccinello,Tony,67
Cuellar,Mike,72
Cullenbine,Roy,73
Culp,Ray,72
Cunningham,Joe,72
Cuyler,Kiki,70
Dahlgren,Babe,72
Daley,Bud,73
Danning,Harry,73
Dark,Al,71
Darling,Ron,75
Daulton,Darren,74
Davalillo,Vic,67
Davenport,Jim,71
Davis,Alvin,73
Davis,Chili,75
Davis,Curt,74
Davis,Eric,74
Davis,Glenn,75
Davis,Jody,76
Davis,Mark,75
Davis,Ron,76
Davis,Tommy,74
Davis,Willie,74
Dawley,Bill,77
Dawson,Andre,75
Dean,Dizzy,74
DeCinces,Doug,74
DeMaestri,Joe,72
Demaree,Frank,71
Dent,Bucky,69
Derringer,Paul,75
Diaz,Bo,71
Dibble,Rob,76
Dickey,Bill,73
Dickson,Jason,72
Dickson,Murry,70
Dierker,Larry,76
Dietz,Dick,73
Dillinger,Bob,71
DiMaggio,Dom,69
DiMaggio,Joe,74
DiMaggio,Vince,71
Disarcina,Gary,73
Dobson,Joe,74
Dobson,Pat,75
Doby,Larry,73
Doerr,Bobby,71
Donovan,Dick,75
Dotson,Richard,73
Downing,Al,71
Downing,Brian,70
Drabek,Doug,73
Dravecky,Dave,73
Dropo,Walt,77
Drysdale,Don,77
Duncan,Dave,74
Duncan,Mariano,72
Dunston,Shawon,73
Duren,Ryne,74
Durham,Leon,73
Durham,Ray,68
Durocher,Leo,70
Dykes,Jimmy,69
Dykstra,Lenny,70
Early,Jake,71
Easler,Mike,72
Easley,Damion,71
Eckersley,Dennis,74
Edmonds,Jim,73
Edwards,Bruce,68
Edwards,Johnny,76
Elliott,Bob,72
Ellis,Dock,75
Ellis,Sammy,73
Ellsworth,Dick,75
Elston,Don,72
Engle,Dave,75
English,Woody,70
Ennis,Del,72
Erickson,Scott,76
Erskine,Carl,70
Erstad,Darin,74
Estes,Shawn,74
Estrada,Chuck,73
Etchebarren,Andy,73
Etten,Nick,74
Evans,Darrell,74
Evans,Dwight,74
Evers,Hoot,74
Face,Roy,68
Fain,Ferris,71
Fairly,Ron,70
Farmer,Ed,77
Farrell,Turk,76
Feller,Bob,72
Fernandez,Sid,73
Fernandez,Tony,74
Ferrell,Rick,70
Ferrell,Wes,74
Ferriss,Dave,74
Fette,Lou,73
Fidrych,Mark,75
Fielder,Cecil,75
Fingers,Rollie,76
Finigan,Jim,71
Finley,Chuck,78
Finley,Steve,74
Finney,Lou,72
Fisher,Eddie,74
Fisk,Carlton,75
Flanagan,Mike,72
Fletcher,Darrin,74
Fletcher,Elbie,72
Flood,Curt,69
Foiles,Hank,72
Ford,Whitey,70
Fornieles,Mike,71
Forsch,Ken,76
Fosse,Ray,74
Foster,George,73
Fox,Nellie,70
Fox,Pete,71
Foxx,Jimmie,72
Franco,John,70
Franco,Julio,72
Francona,Tito,71
Frankhouse,Fred,71
Freehan,Bill,75
Fregosi,Jim,73
French,Larry,73
Frey,Lonny,70
Friend,Bob,72
Frisch,Frankie,71
Fryman,Travis,73
Fryman,Woodie,75
Furillo,Carl,72
Gaetti,Gary,72
Galan,Augie,72
Galarraga,Andres,75
Gant,Ron,72
Garcia,Carlos,73
Garcia,Damaso,73
Garcia,Mike,73
Garciaparra,Nomar,72
Garner,Phil,70
Garr,Ralph,71
Garrelts,Scott,76
Garver,Ned,70
Garvey,Steve,70
Gaston,Cito,75
Gedman,Rich,72
Gehrig,Lou,72
Gehringer,Charlie,71
Gentile,Jim,75
Gibson,Bob,73
Gilliam,Jim,70
Giusti,Dave,71
Glavine,Tom,72
Gomez,Lefty,74
Gonzalez,Alex,73
Gonzalez,Juan,75
Gonzalez,Luis,74
Gooden,Dwight,74
Goodman,Billy,71
Goodman,Ival,71
Gordon,Joe,70
Gordon,Sid,70
Gordon,Tom,69
Goslin,Goose,71
Gossage,Rich,75
Grabarkewitz,Billy,70
Grace,Mark,74
Grant,Mudcat,73
Gray,Ted,71
Green,Shawn,76
Green,Tyler,77
Greenberg,Hank,75
Greenwell,Mike,72
Gregg,Hal,75
Grich,Bobby,74
Grieve,Ben,76
Griffey,Ken,75
Griffey,Ken,71
Griffin,Alfredo,71
Grim,Bob,73
Grimes,Oscar,71
Grimsley,Ross,75
Grissom,Lee,75
Grissom,Marquis,71
Grissom,Marv,75
Groat,Dick,71
Gromek,Steve,74
Gross,Kevin,77
Gross,Wayne,74
Grote,Jerry,70
Grove,Lefty,75
Grove,Orval,75
Grubb,Johnny,75
Gruber,Kelly,72
Grudzielanek,Mark,73
Gubicza,Mark,78
Guerrero,Pedro,71
Guerrero,Vladimir,75
Guidry,Ron,71
Guillen,Ozzie,71
Gumpert,Randy,75
Gura,Larry,72
Gustine,Frankie,72
Guzman,Juan,71
Gwynn,Tony,71
Haas,Bert,71
Hack,Stan,72
Haddix,Harvey,69
Hafey,Chick,72
Hall,Jimmie,72
Hallahan,Bill,70
Haller,Tom,76
Hammaker,Atlee,75
Hamner,Granny,70
Hampton,Mike,70
Hansen,Ron,75
Hanson,Erik,78
Harder,Mel,73
Hargan,Steve,75
Hargrove,Mike,72
Harnisch,Pete,73
Harper,Tommy,69
Harrah,Toby,72
Harrelson,Bud,71
Harrelson,Ken,74
Harris,Mickey,72
Hart,Jim Ray,71
Hartnett,Gabby,73
Harvey,Bryan,75
Hatton,Grady,68
Hayes,Frankie,72
Hayes,Von,77
Haynes,Joe,74
Hearn,Jim,75
Heath,Jeff,71
Heaton,Neal,73
Hegan,Jim,74
Hegan,Mike,73
Helms,Tommy,70
Hemsley,Rollie,70
Henderson,Dave,74
Henderson,Rickey,70
Hendrick,George,75
Henke,Tom,77
Henneman,Mike,76
Henrich,Tommy,72
Henry,Bill,74
Hentgen,Pat,74
Herbert,Ray,71
Herman,Billy,71
Hernandez,Keith,72
Hernandez,Roberto,76
Hernandez,Willie,75
Herr,Tom,72
Herrmann,Ed,73
Hershiser,Orel,75
Hickman,Jim,75
Higbe,Kirby,71
Higgins,Pinky,73
Higuera,Teddy,70
Hildebrand,Oral,75
Hill,Ken,76
Hiller,John,73
Hinton,Chuck,73
Hisle,Larry,74
Hoag,Myril,71
Hoak,Don,73
Hockett,Oris,69
Hodges,Gil,73
Hoeft,Billy,75
Hoerner,Joe,73
Hoffman,Trevor,73
Holland,Al,71
Hollins,Dave,73
Holmes,Tommy,70
Holtzman,Ken,74
Honeycutt,Rick,73
Hooton,Burt,73
Hopp,Johnny,70
Horlen,Joe,72
Horner,Bob,73
Horton,Willie,71
Hough,Charlie,74
Houtteman,Art,74
Howard,Elston,74
Howard,Frank,79
Howe,Steve,73
Howell,Jay,75
Howell,Roy,73
Howser,Dick,68
Hoyt,LaMarr,75
Hrbek,Kent,76
Hubbard,Glenn,69
Hubbell,Carl,72
Hudek,John,73
Hudson,Sid,76
Hughson,Tex,75
Hume,Tom,73
Hundley,Randy,71
Hundley,Todd,71
Hunt,Ron,72
Hunter,Billy,72
Hunter,Catfish,72
Hurst,Bruce,76
Hutchinson,Fred,74
Irvin,Monte,73
Jablonski,Ray,70
Jackson,Bo,73
Jackson,Danny,72
Jackson,Grant,72
Jackson,Larry,73
Jackson,Randy,73
Jackson,Reggie,72
Jackson,Travis,70
Jacoby,Brook,71
Jaha,John,73
Jansen,Larry,74
Javery,Al,75
Javier,Julian,73
Jay,Joey,76
Jefferies,Gregg,71
Jenkins,Fergie,77
Jensen,Jackie,71
Jeter,Derek,75
John,Tommy,75
Johnson,Alex,72
Johnson,Billy,70
Johnson,Bob,72
Johnson,Charles,74
Johnson,Davey,73
Johnson,Don,72
Johnson,Howard,71
Johnson,Lance,70
Johnson,Randy,82
Jones,Bobby,76
Jones,Chipper,76
Jones,Cleon,72
Jones,Doug,75
Jones,Randy,72
Jones,Ruppert,70
Jones,Sam,76
Jones,Willie,73
Joost,Eddie,72
Jordan,Brian,73
Jose,Felix,73
Josephson,Duane,72
Joyner,Wally,74
Judd,Oscar,72
Jurges,Billy,71
Justice,David,75
Kaat,Jim,76
Kaline,Al,73
Kasko,Eddie,72
Kazak,Eddie,72
Keegan,Bob,74
Kell,George,69
Keller,Charlie,70
Kellner,Alex,72
Kelly,Pat,73
Kelly,Roberto,74
Keltner,Ken,72
Kemp,Steve,72
Kendall,Jason,72
Kennedy,Terry,75
Kennedy,Vern,72
Kent,Jeff,73
Keough,Matt,75
Kern,Jim,77
Kerr,Buddy,74
Kessinger,Don,73
Key,Jimmy,73
Kile,Darryl,77
Killebrew,Harmon,72
Kiner,Ralph,74
Kingman,Dave,78
Kittle,Ron,76
Klein,Chuck,72
Kluszewski,Ted,74
Knepper,Bob,75
Knight,Ray,73
Knoblauch,Chuck,69
Knoop,Bobby,73
Knowles,Darold,72
Konstanty,Jim,73
Koosman,Jerry,74
Koufax,Sandy,74
Kralick,Jack,74
Kramer,Jack,74
Kranepool,Ed,75
Kreevich,Mike,67
Kruk,John,70
Krukow,Mike,77
Kubek,Tony,75
Kucks,Johnny,75
Kuenn,Harvey,74
Kurowski,Whitey,71
Laabs,Chet,68
Labine,Clem,72
LaCoss,Mike,77
Lamanno,Ray,72
Landis,Jim,73
Landreaux,Ken,70
Langston,Mark,74
Lanier,Max,71
Lankford,Ray,71
Lansford,Carney,74
Larker,Norm,72
Larkin,Barry,72
LaRoche,Dave,74
Lary,Frank,71
Latman,Barry,75
Laudner,Tim,75
Lavagetto,Cookie,72
Lavelle,Gary,74
Law,Vance,74
Law,Vern,74
Lawrence,Brooks,72
Lazzeri,Tony,71
Lea,Charlie,76
Lee,Bill,75
Lee,Bob,75
Lee,Thornton,75
Lefebvre,Jim,72
LeFlore,Ron,72
Leiber,Hank,73
Leiter,Al,74
Lemanczyk,Dave,76
Lemaster,Denny,73
Lemon,Bob,72
Lemon,Chet,72
Lemon,Jim,76
Leonard,Dutch,72
Leonard,Jeffrey,74
Leppert,Don,74
Lewis,Buddy,73
Lieberthal,Mike,72
Lima,Jose,74
Lindell,Johnny,76
Litwhiler,Danny,70
Lockman,Whitey,73
Loes,Billy,73
Lofton,Kenny,72
Logan,Johnny,71
Lolich,Mickey,73
Lollar,Sherm,73
Lombardi,Ernie,75
Lonborg,Jim,77
Long,Dale,76
Lopat,Eddie,70
Lopata,Stan,74
Lopes,Davey,69
Lopez,Al,71
Lopez,Aurelio,72
Lopez,Javy,75
Lowrey,Peanuts,68
Lumpe,Jerry,74
Luzinski,Greg,73
Lyle,Sparky,73
Lynn,Fred,73
Lyons,Ted,71
Mack,Ray,72
Maddux,Greg,72
Madlock,Bill,71
Maglie,Sal,74
Mahaffey,Art,73
Maloney,Jim,74
Malzone,Frank,70
Mancuso,Gus,70
Mantilla,Felix,72
Mantle,Mickey,71
Manush,Heinie,73
Marichal,Juan,72
Marion,Marty,74
Maris,Roger,72
Marrero,Connie,65
Marshall,Mike,77
Marshall,Mike,70
Marshall,Willard,73
Martin,Billy,71
Martin,Hersh,74
Martin,Pepper,68
Martin,Stu,72
Martinez,Dennis,73
Martinez,Edgar,72
Martinez,Pedro,71
Martinez,Ramon,76
Martinez,Tino,74
Martinez,Tippy,70
Masi,Phil,70
Masterson,Walt,74
Mathews,Eddie,73
Matlack,Jon,75
Matthews,Gary,74
Mattingly,Don,72
Maxwell,Charlie,71
May,Carlos,71
May,Dave,70
May,Lee,75
May,Pinky,71
Mayberry,John,75
Mayo,Eddie,71
Mays,Willie,70
Mazeroski,Bill,71
Mazzilli,Lee,73
McAuliffe,Dick,71
McBride,Bake,74
McBride,Ken,73
McCarver,Tim,72
McCool,Billy,74
McCormick,Frank,76
McCormick,Mike,74
McCovey,Willie,76
McCullough,Clyde,71
McDaniel,Lindy,75
McDougald,Gil,72
McDowell,Jack,77
McDowell,Sam,77
McGee,Willie,73
McGlothen,Lynn,74
McGlothlin,Jim,73
McGraw,Tug,72
McGregor,Scott,73
McGriff,Fred,75
McGwire,Mark,77
McLain,Denny,73
McLish,Cal,72
McMahon,Don,74
McMillan,Roy,71
McNally,Dave,71
McQuinn,George,71
McRae,Hal,71
Medwick,Joe,70
Melton,Bill,74
Melton,Cliff,77
Menke,Denis,72
Merritt,Jim,75
Mesa,Jose,75
Messersmith,Andy,73
Michaels,Cass,71
Millan,Felix,71
Miller,Eddie,69
Miller,Stu,71
Millwood,Kevin,76
Milnar,Al,74
Mincher,Don,75
Minoso,Minnie,70
Minton,Greg,74
Mitchell,Dale,73
Mitchell,Kevin,70
Mize,Johnny,74
Mizell,Vinegar Bend,75
Molitor,Paul,72
Monbouquette,Bill,71
Monday,Rick,75
Mondesi,Raul,71
Money,Don,73
Monge,Sid,74
Montanez,Willie,72
Montefusco,John,73
Montgomery,Jeff,71
Moon,Wally,72
Moore,Donnie,72
Moore,Gene,71
Moore,Jo-Jo,71
Moore,Mike,76
Moore,Terry,71
Morales,Jerry,70
Moran,Billy,71
Morandini,Mickey,71
Morgan,Joe,67
Morgan,Mike,75
Morris,Jack,75
Moryn,Walt,74
Moseby,Lloyd,75
Moses,Jerry,75
Moses,Wally,70
Mossi,Don,73
Mota,Manny,70
Mueller,Don,72
Mueller,Ray,69
Mulcahy,Hugh,74
Mulholland,Terry,75
Mullin,Pat,74
Mumphrey,Jerry,74
Muncrief,Bob,74
Munger,Red,74
Mungo,Van,74
Munson,Thurman,71
Murcer,Bobby,71
Murphy,Dale,76
Murphy,Johnny,74
Murray,Eddie,74
Musial,Stan,72
Mussina,Mike,74
Myer,Buddy,70
Myers,Randy,73
Nagy,Charles,75
Narleski,Ray,73
Neagle,Denny,76
Neal,Charlie,70
Nelson,Dave,70
Nen,Robb,76
Nettles,Graig,72
Newcombe,Don,76
Newhouser,Hal,74
Newman,Jeff,74
Newsom,Bobo,75
Nicholson,Bill,72
Niekro,Joe,73
Niekro,Phil,73
Nilsson,Dave,75
Nokes,Matt,73
Nolan,Gary,74
Nomo,Hideo,74
Noren,Irv,72
Norris,Mike,74
Nuxhall,Joe,75
O'Dea,Ken,72
O'Dell,Billy,71
O'Donoghue,John,76
O'Doul,Lefty,72
O'Neill,Paul,76
O'Toole,Jim,72
Odom,Blue Moon,72
Offerman,Jose,72
Oglivie,Ben,74
Olerud,John,77
Oliva,Tony,73
Oliver,Al,72
Olson,Greg,72
Olson,Gregg,76
Ontiveros,Steve,72
Ordonez,Magglio,72
Orosco,Jesse,74
Orta,Jorge,70
Osteen,Claude,71
Otis,Amos,71
Ott,Mel,69
Owen,Mickey,70
Paciorek,Tom,76
Pafko,Andy,72
Page,Joe,75
Pagnozzi,Tom,72
Paige,Satchel,75
Palmeiro,Rafael,72
Palmer,Dean,73
Palmer,Jim,75
Pappas,Milt,75
Parker,Dave,77
Parnell,Mel,72
Parrish,Lance,75
Parrish,Larry,75
Pascual,Camilo,71
Passeau,Claude,75
Patek,Freddie,65
Pattin,Marty,71
Pavlik,Roger,75
Pearson,Albie,65
Pearson,Monte,72
Pena,Tony,72
Pendleton,Terry,69
Pepitone,Joe,74
Percival,Troy,75
Perez,Carlos,75
Perez,Pascual,74
Perez,Tony,74
Perry,Gaylord,76
Perry,Gerald,71
Perry,Jim,76
Pesky,Johnny,69
Peters,Gary,74
Peterson,Fritz,72
Petrocelli,Rico,72
Petry,Dan,76
Pettitte,Andy,77
Phelps,Babe,74
Piazza,Mike,75
Pierce,Billy,70
Piersall,Jim,72
Piniella,Lou,72
Pinson,Vada,71
Pizarro,Juan,71
Plesac,Dan,77
Pocoroba,Biff,70
Podres,Johnny,71
Pollet,Howie,73
Porter,Darrell,72
Porterfield,Bob,72
Powell,Boog,76
Power,Vic,72
Presley,Jim,73
Puckett,Kirby,68
Puhl,Terry,74
Purkey,Bob,74
Quisenberry,Dan,74
Radatz,Dick,78
Radcliff,Rip,70
Radke,Brad,74
Raffensberger,Ken,74
Raines,Tim,68
Ramirez,Manny,72
Ramirez,Rafael,72
Ramos,Pedro,72
Randolph,Willie,71
Raschi,Vic,73
Rawley,Shane,72
Ray,Johnny,71
Raymond,Claude,70
Reardon,Jeff,72
Reed,Rick,72
Reed,Ron,78
Reese,Pee Wee,70
Regan,Phil,75
Reiser,Pete,71
Reitz,Ken,72
Remy,Jerry,69
Renteria,Edgar,73
Repulski,Rip,72
Reuschel,Rick,75
Reuss,Jerry,77
Reynolds,Allie,72
Reynolds,Craig,73
Reynolds,Harold,71
Rhoden,Rick,75
Rice,Del,74
Rice,Jim,74
Richard,J. R.,80
Richardson,Bobby,69
Richert,Pete,71
Riddle,Elmer,71
Riggs,Lew,72
Righetti,Dave,76
Rigney,Bill,73
Rijo,Jose,73
Ripken,Cal,76
Rivera,Mariano,74
Rivers,Mickey,70
Rizzuto,Phil,66
Roberts,Bip,67
Roberts,Robin,72
Robinson,Aaron,74
Robinson,Brooks,73
Robinson,Eddie,74
Robinson,Frank,73
Robinson,Jackie,71
Rodriguez,Alex,75
Rodriguez,Ellie,71
Rodriguez,Henry,73
Rodriguez,Ivan,69
Roe,Preacher,74
Rogers,Kenny,73
Rogers,Steve,74
Rojas,Cookie,70
Rolfe,Red,71
Rollins,Rich,70
Romano,John,71
Rosado,Jose,72
Rosar,Buddy,69
Rose,Pete,71
Roseboro,John,71
Rosen,Al,70
Rosen,Goody,69
Rowe,Schoolboy,76
Rudi,Joe,74
Ruffing,Red,73
Runnels,Pete,72
Rush,Bob,76
Russell,Bill,72
Russell,Jack,73
Russell,Jeff,76
Russo,Marius,73
Ruth,Babe,74
Ruthven,Dick,75
Ryan,Connie,71
Ryan,Nolan,74
Saberhagen,Bret,73
Sabo,Chris,71
Sain,Johnny,74
Sambito,Joe,73
Samuel,Juan,71
Sandberg,Ryne,73
Sanders,Reggie,72
Sanderson,Scott,77
Sanford,Jack,72
Sanguillen,Manny,72
Santiago,Benito,73
Santiago,Jose,74
Santo,Ron,72
Sauer,Hank,75
Sax,Steve,71
Scarborough,Ray,72
Scheinblum,Richie,73
Schilling,Curt,77
Schmidt,Bob,74
Schmidt,Mike,74
Schmitz,Johnny,72
Schoendienst,Red,72
Schrom,Ken,74
Schumacher,Hal,72
Schwall,Don,78
Scioscia,Mike,74
Score,Herb,74
Scott,George,74
Scott,Mike,74
Seaver,Tom,73
Seitzer,Kevin,71
Sele,Aaron,77
Selkirk,George,73
Seminick,Andy,71
Sewell,Luke,69
Sewell,Rip,73
Shantz,Bobby,66
Sharperson,Mike,75
Shaw,Bob,74
Shaw,Jeff,74
Shea,Spec,72
Sheffield,Gary,71
Short,Chris,76
Siebern,Norm,74
Siebert,Dick,72
Siebert,Sonny,75
Sierra,Ruben,73
Sievers,Roy,73
Simmons,Al,71
Simmons,Curt,71
Simmons,Ted,71
Simpson,Harry,73
Simpson,Wayne,75
Singer,Bill,76
Singleton,Ken,76
Sisler,Dick,74
Skinner,Bob,76
Skowron,Bill,71
Slaton,Jim,72
Slaughter,Enos,69
Slocumb,Heathcliff,75
Smalley,Roy,73
Smiley,John,76
Smith,Al,72
Smith,Al,71
Smith,Dave,73
Smith,Eddie,70
Smith,Hal,70
Smith,Lee,77
Smith,Lonnie,69
Smith,Ozzie,71
Smith,Reggie,72
Smoltz,John,75
Snider,Duke,72
Sorensen,Lary,74
Sosa,Sammy,72
Soto,Mario,72
Spahn,Warren,72
Speier,Chris,73
Spence,Stan,70
Spencer,Jim,74
Sprague,Ed,74
Staley,Gerry,72
Stanhouse,Don,74
Stanky,Eddie,68
Stanley,Bob,76
Stanley,Mike,73
Stargell,Willie,74
Starr,Ray,73
Staub,Rusty,74
Stearns,John,72
Steinbach,Terry,73
Stenhouse,Dave,72
Stephens,Vern,70
Stewart,Dave,74
Stieb,Dave,72
Stigman,Dick,75
Stillwell,Kurt,71
Stirnweiss,Snuffy,68
Stone,Dean,76
Stone,Steve,70
Stoneman,Bill,70
Stottlemyre,Mel,73
Stratton,Monty,77
Strawberry,Darryl,78
Stuart,Dick,76
Suhr,Gus,72
Sullivan,Frank,78
Sundberg,Jim,72
Surhoff,B. J.,73
Sutcliffe,Rick,79
Sutter,Bruce,74
Sutton,Don,73
Swindell,Greg,74
Swisher,Steve,74
Tabler,Pat,75
Tanana,Frank,74
Tartabull,Danny,73
Taylor,Tony,69
Tebbetts,Birdie,71
Tekulve,Kent,76
Temple,Johnny,71
Templeton,Garry,71
Tenace,Gene,72
Terry,Bill,73
Terry,Ralph,75
Tettleton,Mickey,74
Tewksbury,Bob,76
Thigpen,Bobby,75
Thomas,Frank,77
Thomas,Frank,75
Thomas,Gorman,74
Thomas,Lee,74
Thome,Jim,76
Thompson,Jason,76
Thompson,Justin,76
Thompson,Robby,71
Thomson,Bobby,74
Thon,Dickie,71
Thornton,Andre,75
Tiant,Luis,72
Tobin,Jim,72
Torre,Joe,74
Trachsel,Steve,75
Trammell,Alan,72
Travers,Bill,76
Travis,Cecil,73
Traynor,Pie,72
Tresh,Mike,71
Tresh,Tom,73
Triandos,Gus,75
Trillo,Manny,73
Trout,Dizzy,74
Trucks,Virgil,71
Tucker,Thurman,70
Turley,Bob,74
Turner,Jim,72
Twitchell,Wayne,78
Urbina,Ugueth,74
Valentine,Ellis,76
Valenzuela,Fernando,71
Van Slyke,Andy,73
Vander Meer,Johnny,73
Vaughan,Arky,70
Vaughn,Greg,72
Vaughn,Mo,73
Veale,Bob,78
Ventura,Robin,73
Verban,Emil,71
Vernon,Mickey,74
Versalles,Zoilo,70
Vina,Fernando,69
Viola,Frank,76
Virgil,Ozzie,73
Vizquel,Omar,69
Voiselle,Bill,76
Vosmik,Joe,72
Wagner,Billy,70
Wagner,Hal,72
Wagner,Leon,73
Waitkus,Eddie,72
Wakefield,Dick,76
Walk,Bob,75
Walker,Bill,72
Walker,Dixie,73
Walker,Gee,71
Walker,Harry,74
Walker,Jerry,73
Walker,Larry,74
Wallach,Tim,75
Walls,Lee,75
Walters,Bucky,73
Waner,Lloyd,69
Waner,Paul,68
Ward,Duane,76
Ward,Gary,74
Warneke,Lon,74
Washington,Claudell,72
Watson,Bob,72
Weiss,Walt,72
Welch,Bob,75
Wells,David,75
Wert,Don,70
Wertz,Vic,72
West,Max,73
West,Sam,71
Westlake,Wally,72
Westrum,Wes,71
Wetteland,John,74
Whitaker,Lou,71
White,Bill,72
White,Devon,73
White,Frank,71
White,Roy,70
White,Sammy,75
Whitehead,Burgess,70
Whitney,Pinky,70
Whitson,Ed,75
Whitt,Ernie,74
Wilhelm,Hoyt,72
Williams,Bernie,74
Williams,Billy,73
Williams,Davey,70
Williams,Matt,74
Williams,Mitch,75
Williams,Stan,77
Williams,Ted,75
Williamson,Scott,72
Wills,Maury,71
Wilson,Dan,75
Wilson,Don,74
