last_name,first_name,age,country_death
Finn,Neal,29.0,USA
Gorman,Herb,29.0,USA
Hancock,Josh,29.0,USA
Hanlon,Bill,29.0,USA
Hanson,Tommy,29.0,USA
Hatter,Clyde,29.0,USA
Hawley,Marvin,29.0,USA
Heitmuller,Heinie,29.0,USA
Lillie,Jim,29.0,USA
Madden,Kid,29.0,USA
McNabb,Edgar,29.0,USA
McTigue,Bill,29.0,USA
Meeker,Roy,29.0,USA
Mercer,Win,29.0,USA
Moose,Bob,29.0,USA
Nicholls,Simon,29.0,USA
Power,Tom,29.0,USA
Ringo,Frank,29.0,USA
Scherer,Harry,29.0,USA
Schiappacasse,Lou,29.0,USA
Stephens,Ben,29.0,USA
Thomas,Dan,29.0,USA
Thompson,Danny,29.0,USA
Tomney,Phil,29.0,USA
Young,Cliff,29.0,USA
Ziegler,Charlie,29.0,USA
Bahret,Frank,30.0,USA
Bond,Walt,30.0,USA
Bowes,Frank,30.0,USA
Brannock,Mike,30.0,USA
Brickell,Fritz,30.0,USA
Carey,Roger,30.0,USA
Cermak,Ed,30.0,USA
Cole,King,30.0,USA
Collins,Dan,30.0,USA
Conley,Ed,30.0,USA
Connell,Peter,30.0,USA
Cox,Les,30.0,USA
Doran,Tom,30.0,USA
Dorman,Charlie,30.0,USA
Dugan,Ed,30.0,USA
Duncan,Jim,30.0,USA
Enwright,Charlie,30.0,USA
Flynn,George,30.0,USA
Freigau,Howard,30.0,USA
Gorman,Jack,30.0,USA
Hershberger,Willard,30.0,USA
Hodnett,Charlie,30.0,USA
Luby,Pat,30.0,USA
Mills,Charlie,30.0,USA
O'Brien,Darby,30.0,USA
O'Meara,Eddie,30.0,USA
Raymond,Bugs,30.0,USA
Robinson,Ken,30.0,USA
Silch,Ed,30.0,USA
Smith,Edgar,30.0,USA
Wilson,Don,30.0,USA
Woodhead,Red,30.0,USA
Youngs,Ross,30.0,USA
Zahner,Fred,30.0,USA
Brown,Lew,31.0,USA
Brown,William,31.0,USA
Clark,Earl,31.0,USA
Connell,Gene,31.0,USA
Creamer,George,31.0,USA
Doyle,Jim,31.0,USA
Driscoll,Denny,31.0,USA
Duke,Martin,31.0,USA
Easterday,Henry,31.0,USA
Frey,Benny,31.0,USA
Frisella,Danny,31.0,USA
Gehring,Hank,31.0,USA
Gilmore,Grover,31.0,USA
Hartje,Chris,31.0,USA
Hohnhorst,Eddie,31.0,USA
Joss,Addie,31.0,USA
Koenecke,Len,31.0,CAN
Mathewson,Henry,31.0,USA
Matthias,Steve,31.0,USA
McAtee,Bub,31.0,USA
McClellan,Hervey,31.0,USA
McKinnon,Alex,31.0,USA
McMackin,Sam,31.0,USA
McVey,George,31.0,USA
Plock,Walter,31.0,USA
Rogers,Fraley,31.0,USA
Scheible,Jack,31.0,USA
Sullivan,Harry,31.0,USA
Sutcliffe,Sy,31.0,USA
Truax,Fred,31.0,USA
Ward,Jim,31.0,USA
Warner,Fred,31.0,USA
Birchall,Jud,32.0,USA
Boeckel,Tony,32.0,USA
Brown,John,32.0,USA
Corcoran,Larry,32.0,USA
Crews,Tim,32.0,USA
Donahue,Tim,32.0,USA
Dooms,Harry,32.0,USA
Ewing,John,32.0,USA
Flynn,Clipper,32.0,USA
Frye,Charlie,32.0,USA
Gardner,Jim,32.0,USA
Glenn,Ed,32.0,USA
Hawke,Bill,32.0,USA
Johnson,Otis,32.0,USA
Kilhullen,Pat,32.0,USA
Kimball,Gene,32.0,USA
Krug,Henry,32.0,USA
Ladew,Steve,32.0,USA
Landenberger,Ken,32.0,USA
LeClair,George,32.0,CAN
McGlothlin,Jim,32.0,USA
McMullin,John,32.0,USA
McNaughton,Gordon,32.0,USA
Munson,Thurman,32.0,USA
Niehaus,Al,32.0,USA
Polchow,Lou,32.0,USA
Popp,Bill,32.0,USA
Powell,Martin,32.0,USA
Quick,Eddie,32.0,USA
Riley,Billy,32.0,USA
Say,Jimmy,32.0,USA
Scoggins,Jim,32.0,USA
Skopec,John,32.0,USA
Smith,Harry,32.0,USA
Smith,Pop-boy,32.0,USA
Sullivan,Charlie,32.0,USA
Sullivan,Marty,32.0,USA
Uhler,Maury,32.0,USA
Van Zandt,Ike,32.0,USA
Waller,Red,32.0,USA
Walsh,Ed,32.0,USA
Yingling,Charles,32.0,USA
Baldwin,Kid,33.0,USA
Barclay,George,33.0,USA
Boyd,Ray,33.0,USA
Brown,Buster,33.0,USA
Brown,Jake,33.0,USA
Burroughs,Henry,33.0,USA
Callahan,Joe,33.0,USA
Chapman,Harry,33.0,USA
Dee,Jim,33.0,USA
Dehlman,Herman,33.0,USA
Fuller,Harry,33.0,USA
Gill,Haddie,33.0,USA
Grady,John,33.0,USA
Halsey,Brad,33.0,USA
Healy,Egyptian,33.0,USA
House,Fred,33.0,USA
Huhn,Emil,33.0,USA
Ketchum,Fred,33.0,USA
Knouff,Ed,33.0,USA
Leahy,Dan,33.0,USA
Lochhead,Harry,33.0,USA
Mathison,Jimmy,33.0,USA
Moriarty,Bill,33.0,USA
Morris,Ed,33.0,USA
Morrison,Tom,33.0,USA
Pape,Larry,33.0,USA
Rhodes,Charlie,33.0,USA
Robertson,Jeriome,33.0,USA
Robinson,Rabbit,33.0,USA
Watson,Mother,33.0,USA
Whitehouse,Gil,33.0,USA
Wiggins,Alan,33.0,USA
Williams,Denny,33.0,USA
Baird,Bob,34.0,USA
Beach,Jack,34.0,USA
Bierman,Charles,34.0,USA
Bildilli,Emil,34.0,USA
Bobb,Randy,34.0,USA
Chaplin,Tiny,34.0,USA
Crane,Ed,34.0,USA
Crowley,Bill,34.0,USA
Crowley,John,34.0,USA
Devlin,Jim,34.0,USA
Devlin,Jim,34.0,USA
Dillard,Pat,34.0,USA
Donahue,Jiggs,34.0,USA
Dundon,Ed,34.0,USA
Fletcher,George,34.0,USA
Fox,Howie,34.0,USA
Fox,John,34.0,USA
Gallagher,Bill,34.0,USA
Garvin,Ned,34.0,USA
Gastfield,Ed,34.0,USA
Goodwin,Marv,34.0,USA
Griffin,Pat,34.0,USA
Harper,Jack,34.0,USA
Irwin,Ed,34.0,USA
Jackson,Lou,34.0,Japan
Kile,Darryl,34.0,USA
Kleine,Hal,34.0,USA
Kustus,Jul,34.0,USA
Lidle,Cory,34.0,USA
Mallonee,Jule,34.0,USA
Mason,Ernie,34.0,USA
McCormick,Harry,34.0,USA
McGinnis,Gus,34.0,USA
McGlothen,Lynn,34.0,USA
Pierce,Gracie,34.0,USA
Pitula,Stan,34.0,USA
Reilly,Tom,34.0,USA
Renfroe,Marshall,34.0,USA
Senteney,Steve,34.0,USA
Smith,Rex,34.0,USA
Stahl,Chick,34.0,USA
Stewart,Joe,34.0,USA
Sullivan,Jim,34.0,USA
Sweeney,Jerry,34.0,USA
Umbricht,Jim,34.0,USA
Wanner,Jack,34.0,USA
Welch,Curt,34.0,USA
Welch,Johnny,34.0,USA
Whitney,Jim,34.0,USA
Willis,Ron,34.0,USA
Adkins,Dick,35.0,USA
Alberts,Cy,35.0,USA
Allen,Ham,35.0,USA
Bancker,Studs,35.0,USA
Brown,Dick,35.0,USA
Burke,Mike,35.0,USA
Coolbaugh,Mike,35.0,USA
Day,Pea Ridge,35.0,USA
DeLancey,Bill,35.0,USA
Dolan,Cozy,35.0,USA
Dorgan,Jerry,35.0,USA
Faust,Charlie,35.0,USA
Grant,Eddie,35.0,France
Hickman,Ernie,35.0,USA
Houseman,William,35.0,USA
Kahler,George,35.0,USA
Kenna,Ed,35.0,USA
Kinslow,Tom,35.0,USA
Lattimore,Bill,35.0,USA
Layana,Tim,35.0,USA
Mahady,Jim,35.0,USA
McCann,Emmet,35.0,USA
McGee,Frank,35.0,USA
McLaughlin,Jim,35.0,USA
Meyer,Jack,35.0,USA
Moore,Donnie,35.0,USA
Neighbors,Bob,35.0,North Korea
Quinlan,Frank,35.0,USA
Robinson,Yank,35.0,USA
Rowen,Ed,35.0,USA
Sandberg,Gus,35.0,USA
Sharpe,Bud,35.0,USA
Sharperson,Mike,35.0,USA
Skeels,Dave,35.0,USA
Solomon,Eddie,35.0,USA
Sullivan,Fleury,35.0,USA
Taylor,Billy,35.0,USA
Taylor,Ed,35.0,USA
Trost,Mike,35.0,USA
Walker,Oscar,35.0,USA
Weilman,Carl,35.0,USA
Welch,Tub,35.0,USA
Young,Walter,35.0,USA
Anderson,Rick,36.0,USA
Arellanes,Frank,36.0,USA
Bigelow,Elliot,36.0,USA
Bonham,Tiny,36.0,USA
Bonner,Frank,36.0,USA
Briggs,Buttons,36.0,USA
Burch,Ernie,36.0,USA
Cahill,John,36.0,USA
Cargo,Bobby,36.0,USA
Cassidy,John,36.0,USA
Catterson,Tom,36.0,USA
Conwell,Ed,36.0,USA
Curtis,Gene,36.0,USA
Delahanty,Ed,36.0,CAN
Eagan,Bill,36.0,USA
Farrell,Joe,36.0,USA
Freel,Ryan,36.0,USA
Gaedel,Eddie,36.0,USA
Gibson,Josh,36.0,USA
Glenn,Ed,36.0,USA
Gray,Charlie,36.0,USA
Griffith,Frank,36.0,USA
Hernon,Tom,36.0,USA
Johnson,Chief,36.0,USA
Keifer,Katsy,36.0,USA
Kimsey,Chad,36.0,USA
Krapp,Gene,36.0,USA
Lapp,Jack,36.0,USA
McDermott,James,36.0,USA
McDonald,Jack,36.0,USA
McDougal,Sandy,36.0,USA
Miller,Justin,36.0,USA
Moses,Felix,36.0,USA
Murphy,Frank,36.0,USA
Nabors,Jack,36.0,USA
Powell,Brian,36.0,USA
Quinn,Wimpy,36.0,USA
Russell,John,36.0,USA
Scurry,Rod,36.0,USA
Snyder,Bill,36.0,USA
Stewart,Tuffy,36.0,USA
Sullivan,Andy,36.0,USA
Sullivan,Dan,36.0,USA
Unglaub,Bob,36.0,USA
Vorhees,Cy,36.0,USA
Yeargin,Al,36.0,USA
Yingling,Joe,36.0,USA
Allison,Bill,37.0,USA
Armstrong,Howard,37.0,USA
Bayless,Dick,37.0,USA
Blanton,Cy,37.0,USA
Christopher,Russ,37.0,USA
Collier,Orlin,37.0,USA
Conway,Pete,37.0,USA
Dewald,Charlie,37.0,USA
Druhot,Carl,37.0,USA
Fick,John,37.0,USA
Flint,Silver,37.0,USA
Fuller,Shorty,37.0,USA
Garoni,Willie,37.0,USA
Goodman,Jake,37.0,USA
Heath,Spencer,37.0,USA
Hellman,Tony,37.0,USA
Hogan,George,37.0,USA
Kelly,King,37.0,USA
Kilduff,Pete,37.0,USA
Lavin,Johnny,37.0,USA
Lynch,Adrian,37.0,USA
McAuley,Ike,37.0,USA
McCloskey,John,37.0,USA
Miller,Dots,37.0,USA
Miller,Roscoe,37.0,USA
Mills,Rupert,37.0,USA
Murphy,Yale,37.0,USA
Myers,Henry,37.0,USA
Pittinger,Togie,37.0,USA
Rudolph,Don,37.0,USA
Sneed,John,37.0,USA
Snyder,Josh,37.0,USA
Steinfeldt,Harry,37.0,USA
Suck,Tony,37.0,USA
Sullivan,Bill,37.0,USA
Tabor,Jim,37.0,USA
Taylor,Live Oak,37.0,USA
Traxler,Brian,37.0,USA
Vandagrift,Carl,37.0,USA
Ward,John,37.0,USA
Weekly,John,37.0,USA
Wheeler,George,37.0,USA
Whitaker,Pat,37.0,USA
Williams,Dave,37.0,USA
Williamson,Ned,37.0,USA
Amole,Doc,38.0,USA
Bailey,Bill,38.0,USA
Barry,Ed,38.0,USA
Baumgartner,Harry,38.0,USA
Beck,Erve,38.0,USA
Becker,Charlie,38.0,USA
Bevan,Hal,38.0,USA
Brottem,Tony,38.0,USA
Carlson,Hal,38.0,USA
Casey,Hugh,38.0,USA
Clough,Ed,38.0,USA
Clyburn,Danny,38.0,USA
Cooney,Jimmy,38.0,USA
Crisham,Pat,38.0,USA
Davies,George,38.0,USA
Dejan,Mike,38.0,USA
Easton,Jack,38.0,USA
Gehrig,Lou,38.0,USA
Gilbert,Tookie,38.0,USA
Gilham,George,38.0,USA
Gillen,Sam,38.0,USA
Glenn,John,38.0,USA
Graham,Roy,38.0,Philippines
Greason,John,38.0,USA
Green,Danny,38.0,USA
Harris,Ben,38.0,USA
Healey,Tom,38.0,USA
Kirsch,Harry,38.0,USA
Kopshaw,George,38.0,USA
Larkin,Terry,38.0,USA
Lehane,Mike,38.0,USA
Mack,Denny,38.0,USA
McKeough,Dave,38.0,USA
Meyers,Henry,38.0,USA
Murphy,Bob,38.0,USA
Neu,Otto,38.0,USA
Nyce,Charlie,38.0,USA
O'Neil,Ed,38.0,USA
Peppers,Harrison,38.0,USA
Peterson,Cap,38.0,USA
Rees,Stan,38.0,USA
Rocap,Adam,38.0,USA
Santry,Edward,38.0,USA
Sheahan,Dan,38.0,Ireland
Shinault,Ginger,38.0,USA
Shocker,Urban,38.0,USA
Show,Eric,38.0,USA
Slattery,Mike,38.0,USA
Sullivan,Tom,38.0,USA
Sweeney,Pete,38.0,USA
Traffley,John,38.0,USA
Tucker,Ollie,38.0,USA
Underwood,Fred,38.0,USA
Waddell,Rube,38.0,USA
Weaver,Art,38.0,USA
Wetzell,George,38.0,USA
Wordsworth,Favel,38.0,USA
Workman,Chuck,38.0,USA
Beck,Rod,39.0,USA
Biscan,Frank,39.0,USA
Blong,Joe,39.0,USA
Boone,George,39.0,USA
Brandt,Ed,39.0,USA
D'Arcy,Jerry,39.0,USA
Dow,Clarence,39.0,USA
Doyle,Carl,39.0,USA
Driscoll,Dennis,39.0,USA
Drohan,Tom,39.0,USA
Flannigan,Charlie,39.0,USA
Foster,Kevin,39.0,USA
Frill,John,39.0,USA
Gibson,Whitey,39.0,USA
Gilbert,John,39.0,USA
Harrison,Rit,39.0,USA
Heifer,Frank,39.0,USA
Heydon,Mike,39.0,USA
Hollins,Jessie,39.0,USA
Honan,Marty,39.0,USA
Hunt,Ben,39.0,USA
Jackson,Herbert,39.0,USA
Jolly,Dave,39.0,USA
Kleinke,Nub,39.0,At Sea
Kreeger,Frank,39.0,USA
Krock,Gus,39.0,USA
Lockwood,Milo,39.0,USA
Luebke,Dick,39.0,USA
Marlowe,Dick,39.0,USA
McFadden,Guy,39.0,USA
McGann,Dan,39.0,USA
McQuery,Mox,39.0,USA
Miller,Ray,39.0,USA
Miller,Roger,39.0,USA
Morrison,Guy,39.0,USA
Morton,Carl,39.0,USA
Oran,Tom,39.0,USA
Peters,John,39.0,USA
Phillips,Jack,39.0,USA
Powell,Jack,39.0,USA
Powers,Doc,39.0,USA
Reardon,Jeremiah,39.0,USA
Reardon,Phil,39.0,USA
Redding,Phil,39.0,USA
Rogalski,Joe,39.0,USA
Schrecongost,Ossee,39.0,USA
Shannon,Owen,39.0,USA
Stark,Dolly,39.0,USA
Sweeney,Charlie,39.0,USA
Trenwith,George,39.0,USA
Twineham,Art,39.0,China
Whelan,Jimmy,39.0,USA
Wieneke,Jack,39.0,USA
